"global_step","PPOLSTMMovingBall72Px - _step","PPOLSTMMovingBall72Px - _step__MIN","PPOLSTMMovingBall72Px - _step__MAX","PPOLSTMMovingBall72Px - rollout/ep_rew_mean","PPOLSTMMovingBall72Px - rollout/ep_rew_mean__MIN","PPOLSTMMovingBall72Px - rollout/ep_rew_mean__MAX"
"38400","74","74","74","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"38912","75","75","75","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"39424","76","76","76","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"39936","77","77","77","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"40448","78","78","78","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"40960","79","79","79","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"41472","80","80","80","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"41984","81","81","81","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"42496","82","82","82","-0.6844519972801208","-0.6844519972801208","-0.6844519972801208"
"43008","83","83","83","-0.6860600113868713","-0.6860600113868713","-0.6860600113868713"
"43520","84","84","84","-0.6860600113868713","-0.6860600113868713","-0.6860600113868713"
"44032","85","85","85","-0.6860600113868713","-0.6860600113868713","-0.6860600113868713"
"44544","86","86","86","-0.6637920141220093","-0.6637920141220093","-0.6637920141220093"
"45056","87","87","87","-0.6637920141220093","-0.6637920141220093","-0.6637920141220093"
"45568","88","88","88","-0.6637920141220093","-0.6637920141220093","-0.6637920141220093"
"46080","89","89","89","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"46592","90","90","90","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"47104","91","91","91","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"47616","92","92","92","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"48128","93","93","93","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"48640","94","94","94","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"49152","95","95","95","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"49664","96","96","96","-0.6927639842033386","-0.6927639842033386","-0.6927639842033386"
"50176","97","97","97","-0.6922360062599182","-0.6922360062599182","-0.6922360062599182"
"50688","98","98","98","-0.6922360062599182","-0.6922360062599182","-0.6922360062599182"
"51200","99","99","99","-0.6922360062599182","-0.6922360062599182","-0.6922360062599182"
"51712","100","100","100","-0.6922360062599182","-0.6922360062599182","-0.6922360062599182"
"52224","101","101","101","-0.6922360062599182","-0.6922360062599182","-0.6922360062599182"
"52736","102","102","102","-0.662447988986969","-0.662447988986969","-0.662447988986969"
"53248","103","103","103","-0.691860020160675","-0.691860020160675","-0.691860020160675"
"53760","104","104","104","-0.691860020160675","-0.691860020160675","-0.691860020160675"
"54272","105","105","105","-0.691860020160675","-0.691860020160675","-0.691860020160675"
"54784","106","106","106","-0.7210400104522705","-0.7210400104522705","-0.7210400104522705"
"55296","107","107","107","-0.7210400104522705","-0.7210400104522705","-0.7210400104522705"
"55808","108","108","108","-0.7471719980239868","-0.7471719980239868","-0.7471719980239868"
"56320","109","109","109","-0.7471719980239868","-0.7471719980239868","-0.7471719980239868"
"56832","110","110","110","-0.7471719980239868","-0.7471719980239868","-0.7471719980239868"
"57344","111","111","111","-0.7471719980239868","-0.7471719980239868","-0.7471719980239868"
"57856","112","112","112","-0.7471719980239868","-0.7471719980239868","-0.7471719980239868"
"58368","113","113","113","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"58880","114","114","114","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"59392","115","115","115","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"59904","116","116","116","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"60416","117","117","117","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"60928","118","118","118","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"61440","119","119","119","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"61952","120","120","120","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"62464","121","121","121","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"62976","122","122","122","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"63488","123","123","123","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"64000","124","124","124","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"64512","125","125","125","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"65024","126","126","126","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"65536","127","127","127","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"66048","128","128","128","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"66560","129","129","129","-0.7751839756965637","-0.7751839756965637","-0.7751839756965637"
"67072","130","130","130","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"67584","131","131","131","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"68096","132","132","132","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"68608","133","133","133","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"69120","134","134","134","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"69632","135","135","135","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"70144","136","136","136","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"70656","137","137","137","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"71168","138","138","138","-0.8027639985084534","-0.8027639985084534","-0.8027639985084534"
"71680","139","139","139","-0.8326079845428467","-0.8326079845428467","-0.8326079845428467"
"72192","140","140","140","-0.8326079845428467","-0.8326079845428467","-0.8326079845428467"
"72704","141","141","141","-0.8326079845428467","-0.8326079845428467","-0.8326079845428467"
"73216","142","142","142","-0.8326079845428467","-0.8326079845428467","-0.8326079845428467"
"73728","143","143","143","-0.8326079845428467","-0.8326079845428467","-0.8326079845428467"
"74240","144","144","144","-0.8326079845428467","-0.8326079845428467","-0.8326079845428467"
"74752","145","145","145","-0.8326079845428467","-0.8326079845428467","-0.8326079845428467"
"75264","146","146","146","-0.8623480200767517","-0.8623480200767517","-0.8623480200767517"
"75776","147","147","147","-0.8623480200767517","-0.8623480200767517","-0.8623480200767517"
"76288","148","148","148","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"76800","149","149","149","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"77312","150","150","150","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"77824","151","151","151","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"78336","152","152","152","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"78848","153","153","153","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"79360","154","154","154","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"79872","155","155","155","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"80384","156","156","156","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"80896","157","157","157","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"81408","158","158","158","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"81920","159","159","159","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"82432","160","160","160","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"82944","161","161","161","-0.8918240070343018","-0.8918240070343018","-0.8918240070343018"
"83456","162","162","162","-0.8919519782066345","-0.8919519782066345","-0.8919519782066345"
"83968","163","163","163","-0.8919519782066345","-0.8919519782066345","-0.8919519782066345"
"84480","164","164","164","-0.8919519782066345","-0.8919519782066345","-0.8919519782066345"
"84992","165","165","165","-0.9142199754714966","-0.9142199754714966","-0.9142199754714966"
"85504","166","166","166","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"86016","167","167","167","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"86528","168","168","168","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"87040","169","169","169","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"87552","170","170","170","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"88064","171","171","171","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"88576","172","172","172","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"89088","173","173","173","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"89600","174","174","174","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"90112","175","175","175","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"90624","176","176","176","-0.8862800002098083","-0.8862800002098083","-0.8862800002098083"
"91136","177","177","177","-0.9153479933738708","-0.9153479933738708","-0.9153479933738708"
"91648","178","178","178","-0.8889439702033997","-0.8889439702033997","-0.8889439702033997"
"92160","179","179","179","-0.8889439702033997","-0.8889439702033997","-0.8889439702033997"
"92672","180","180","180","-0.8889439702033997","-0.8889439702033997","-0.8889439702033997"
"93184","181","181","181","-0.8889439702033997","-0.8889439702033997","-0.8889439702033997"
"93696","182","182","182","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"94208","183","183","183","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"94720","184","184","184","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"95232","185","185","185","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"95744","186","186","186","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"96256","187","187","187","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"96768","188","188","188","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"97280","189","189","189","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"97792","190","190","190","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"98304","191","191","191","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"98816","192","192","192","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"99328","193","193","193","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"99840","194","194","194","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"100352","195","195","195","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"100864","196","196","196","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"101376","197","197","197","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"101888","198","198","198","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"102400","199","199","199","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"102912","200","200","200","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"103424","201","201","201","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"103936","202","202","202","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"104448","203","203","203","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"104960","204","204","204","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"105472","205","205","205","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"105984","206","206","206","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"106496","207","207","207","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"107008","208","208","208","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"107520","209","209","209","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"108032","210","210","210","-0.9187319874763489","-0.9187319874763489","-0.9187319874763489"
"108544","211","211","211","-0.8912400007247925","-0.8912400007247925","-0.8912400007247925"
"109056","212","212","212","-0.8912400007247925","-0.8912400007247925","-0.8912400007247925"
"109568","213","213","213","-0.8912400007247925","-0.8912400007247925","-0.8912400007247925"
"110080","214","214","214","-0.8912400007247925","-0.8912400007247925","-0.8912400007247925"
"110592","215","215","215","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"111104","216","216","216","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"111616","217","217","217","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"112128","218","218","218","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"112640","219","219","219","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"113152","220","220","220","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"113664","221","221","221","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"114176","222","222","222","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"114688","223","223","223","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"115200","224","224","224","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"115712","225","225","225","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"116224","226","226","226","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"116736","227","227","227","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"117248","228","228","228","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"117760","229","229","229","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"118272","230","230","230","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"118784","231","231","231","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"119296","232","232","232","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"119808","233","233","233","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"120320","234","234","234","-0.8619239926338196","-0.8619239926338196","-0.8619239926338196"
"120832","235","235","235","-0.8329039812088013","-0.8329039812088013","-0.8329039812088013"
"121344","236","236","236","-0.8329039812088013","-0.8329039812088013","-0.8329039812088013"
"121856","237","237","237","-0.8329039812088013","-0.8329039812088013","-0.8329039812088013"
"122368","238","238","238","-0.8329039812088013","-0.8329039812088013","-0.8329039812088013"
"122880","239","239","239","-0.8329039812088013","-0.8329039812088013","-0.8329039812088013"
"123392","240","240","240","-0.8590279817581177","-0.8590279817581177","-0.8590279817581177"
"123904","241","241","241","-0.8590279817581177","-0.8590279817581177","-0.8590279817581177"
"124416","242","242","242","-0.8590279817581177","-0.8590279817581177","-0.8590279817581177"
"124928","243","243","243","-0.8590279817581177","-0.8590279817581177","-0.8590279817581177"
"125440","244","244","244","-0.8590279817581177","-0.8590279817581177","-0.8590279817581177"
"125952","245","245","245","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"126464","246","246","246","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"126976","247","247","247","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"127488","248","248","248","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"128000","249","249","249","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"128512","250","250","250","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"129024","251","251","251","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"129536","252","252","252","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"130048","253","253","253","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"130560","254","254","254","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"131072","255","255","255","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"131584","256","256","256","-0.8869680166244507","-0.8869680166244507","-0.8869680166244507"
"132096","257","257","257","-0.8878719806671143","-0.8878719806671143","-0.8878719806671143"
"132608","258","258","258","-0.8582680225372314","-0.8582680225372314","-0.8582680225372314"
"133120","259","259","259","-0.8582680225372314","-0.8582680225372314","-0.8582680225372314"
"133632","260","260","260","-0.8582680225372314","-0.8582680225372314","-0.8582680225372314"
"134144","261","261","261","-0.8582680225372314","-0.8582680225372314","-0.8582680225372314"
"134656","262","262","262","-0.8582680225372314","-0.8582680225372314","-0.8582680225372314"
"135168","263","263","263","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"135680","264","264","264","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"136192","265","265","265","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"136704","266","266","266","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"137216","267","267","267","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"137728","268","268","268","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"138240","269","269","269","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"138752","270","270","270","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"139264","271","271","271","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"139776","272","272","272","-0.8009080290794373","-0.8009080290794373","-0.8009080290794373"
"140288","273","273","273","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"140800","274","274","274","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"141312","275","275","275","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"141824","276","276","276","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"142336","277","277","277","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"142848","278","278","278","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"143360","279","279","279","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"143872","280","280","280","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"144384","281","281","281","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"144896","282","282","282","-0.7763919830322266","-0.7763919830322266","-0.7763919830322266"
"145408","283","283","283","-0.7475000023841858","-0.7475000023841858","-0.7475000023841858"
"145920","284","284","284","-0.7475000023841858","-0.7475000023841858","-0.7475000023841858"
"146432","285","285","285","-0.7475000023841858","-0.7475000023841858","-0.7475000023841858"
"146944","286","286","286","-0.7475000023841858","-0.7475000023841858","-0.7475000023841858"
"147456","287","287","287","-0.7749919891357422","-0.7749919891357422","-0.7749919891357422"
"147968","288","288","288","-0.7749919891357422","-0.7749919891357422","-0.7749919891357422"
"148480","289","289","289","-0.7749919891357422","-0.7749919891357422","-0.7749919891357422"
"148992","290","290","290","-0.7749919891357422","-0.7749919891357422","-0.7749919891357422"
"149504","291","291","291","-0.7749919891357422","-0.7749919891357422","-0.7749919891357422"
"150016","292","292","292","-0.8043079972267151","-0.8043079972267151","-0.8043079972267151"
"150528","293","293","293","-0.8043079972267151","-0.8043079972267151","-0.8043079972267151"
"151040","294","294","294","-0.8043079972267151","-0.8043079972267151","-0.8043079972267151"
"151552","295","295","295","-0.8043079972267151","-0.8043079972267151","-0.8043079972267151"
"152064","296","296","296","-0.8043079972267151","-0.8043079972267151","-0.8043079972267151"
"152576","297","297","297","-0.8043079972267151","-0.8043079972267151","-0.8043079972267151"
"153088","298","298","298","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"153600","299","299","299","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"154112","300","300","300","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"154624","301","301","301","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"155136","302","302","302","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"155648","303","303","303","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"156160","304","304","304","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"156672","305","305","305","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"157184","306","306","306","-0.7805359959602356","-0.7805359959602356","-0.7805359959602356"
"157696","307","307","307","-0.7516599893569946","-0.7516599893569946","-0.7516599893569946"
"158208","308","308","308","-0.7516599893569946","-0.7516599893569946","-0.7516599893569946"
"158720","309","309","309","-0.7516599893569946","-0.7516599893569946","-0.7516599893569946"
"159232","310","310","310","-0.7516599893569946","-0.7516599893569946","-0.7516599893569946"
"159744","311","311","311","-0.7516599893569946","-0.7516599893569946","-0.7516599893569946"
"160256","312","312","312","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"160768","313","313","313","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"161280","314","314","314","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"161792","315","315","315","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"162304","316","316","316","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"162816","317","317","317","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"163328","318","318","318","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"163840","319","319","319","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"164352","320","320","320","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"164864","321","321","321","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"165376","322","322","322","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"165888","323","323","323","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"166400","324","324","324","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"166912","325","325","325","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"167424","326","326","326","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"167936","327","327","327","-0.7520279884338379","-0.7520279884338379","-0.7520279884338379"
"168448","328","328","328","-0.7224559783935547","-0.7224559783935547","-0.7224559783935547"
"168960","329","329","329","-0.7224559783935547","-0.7224559783935547","-0.7224559783935547"
