Wall time,Step,Value
1676584906.6855845,4096,-0.547073245048523
1676584994.7548935,8192,-0.6355250477790833
1676585070.6262786,12288,-0.7528395652770996
1676585107.6564436,14336,-0.7870562672615051
1676585141.427993,16384,-0.8129274845123291
1676585176.2144425,18432,-0.833174467086792
1676585210.4939742,20480,-0.7413924336433411
1676585244.9786954,22528,-0.613124430179596
1676585280.6275525,24576,-0.6432865858078003
1676585314.585946,26624,-0.6642227172851562
1676585349.3391702,28672,-0.6428380608558655
1676585384.6639946,30720,-0.6653926372528076
1676585418.4708803,32768,-0.6315154433250427
1676585453.744023,34816,-0.6521719098091125
1676585487.9727504,36864,-0.6372935175895691
1676585523.0645964,38912,-0.635093092918396
1676585556.171727,40960,-0.6252937912940979
1676585590.6879203,43008,-0.6456800103187561
1676585625.4300132,45056,-0.6239668130874634
1676585659.6722064,47104,-0.6115254759788513
1676585695.1969593,49152,-0.5808569192886353
1676585729.15893,51200,-0.5543665289878845
1676585764.8703897,53248,-0.5543665289878845
1676585834.405414,57344,-0.5398135781288147
1676585939.0982428,63488,-0.6524596810340881
1676585974.7859006,65536,-0.6524596810340881
1676586008.9359787,67584,-0.6524596810340881
1676586044.5099123,69632,-0.6883829832077026
1676586078.3245585,71680,-0.7335301637649536
1676586149.6779578,75776,-0.7127782702445984
1676586183.670534,77824,-0.7330520153045654
1676586218.6970208,79872,-0.7330520153045654
1676586254.4894912,81920,-0.7758401036262512
1676586289.323493,83968,-0.7758401036262512
1676586360.487162,88064,-0.7899026274681091
1676586395.443726,90112,-0.7760868668556213
1676586431.4397416,92160,-0.8025771975517273
1676586465.9602573,94208,-0.8025771975517273
1676586501.632515,96256,-0.773197591304779
1676586535.7193341,98304,-0.773197591304779
1676586606.8932307,102400,-0.8119643330574036
1676586642.1869605,104448,-0.7963090538978577
1676586712.3074799,108544,-0.7444791197776794
1676586747.678491,110592,-0.7090035080909729
1676586782.9155416,112640,-0.683182418346405
1676586817.6195743,114688,-0.6605263352394104
1676586853.3991573,116736,-0.6605263352394104
1676586889.1615036,118784,-0.6605263352394104
1676586959.5736532,122880,-0.563596785068512
1676586994.4571645,124928,-0.49541905522346497
1676587030.3804238,126976,-0.5421488881111145
1676587064.5873656,129024,-0.5558939576148987
1676587100.1813176,131072,-0.5558939576148987
1676587136.7054107,133120,-0.4766773581504822
1676587170.7096066,135168,-0.5206099152565002
1676587206.414361,137216,-0.5206099152565002
1676587242.322933,139264,-0.5206099152565002
1676587278.1289523,141312,-0.5014415383338928
1676587312.1932049,143360,-0.47977420687675476
1676587383.5388515,147456,-0.47939571738243103
1676587419.6922858,149504,-0.41409844160079956
1676587455.3074472,151552,-0.4049578905105591
1676587491.024058,153600,-0.4053736627101898
1676587562.104932,157696,-0.4006408154964447
1676587598.2462642,159744,-0.4006408154964447
1676587633.0737023,161792,-0.46770179271698
1676587667.8967495,163840,-0.5199856162071228
1676587740.3547418,167936,-0.5069610476493835
1676587775.271712,169984,-0.5032223463058472
1676587847.312939,174080,-0.5034281611442566
1676587882.5210264,176128,-0.5034281611442566
1676587917.2633252,178176,-0.5034281611442566
1676587953.1631062,180224,-0.5048864483833313
1676587989.1813433,182272,-0.4816180467605591
1676588027.1614635,184320,-0.4816180467605591
1676588099.4917967,188416,-0.6345993280410767
1676588136.17705,190464,-0.6695610284805298
1676588170.7598453,192512,-0.7438902854919434
1676588206.300125,194560,-0.7438902854919434
1676588278.4574494,198656,-0.7061082720756531
1676588313.483651,200704,-0.7061082720756531
1676588384.2059753,204800,-0.7061082720756531
1676588420.4512432,206848,-0.7498722076416016
1676588456.4513433,208896,-0.7419888377189636
1676588490.8716354,210944,-0.6869381070137024
1676588526.620038,212992,-0.594395101070404
1676588562.2548504,215040,-0.5609108209609985
1676588597.6922975,217088,-0.5609108209609985
1676588633.8630607,219136,-0.5807934999465942
1676588704.2537034,223232,-0.6040619611740112
1676588738.9097152,225280,-0.6040619611740112
1676588774.6625834,227328,-0.5631348490715027
1676588810.5365968,229376,-0.5631348490715027
1676588882.227712,233472,-0.4654912054538727
1676588918.2666936,235520,-0.4250768721103668
1676588953.7736082,237568,-0.4250768721103668
1676588989.8823383,239616,-0.4250768721103668
1676589024.5317717,241664,-0.3650591969490051
1676589060.5861664,243712,-0.3650591969490051
1676589096.554949,245760,-0.37960970401763916
1676589133.2394166,247808,-0.43115565180778503
1676589167.629576,249856,-0.5275164246559143
1676589239.840138,253952,-0.6104569435119629
1676589274.7510626,256000,-0.5241044163703918
1676589311.0896976,258048,-0.5592543482780457
1676589345.51833,260096,-0.5592543482780457
1676589381.4376414,262144,-0.5592543482780457
1676589452.5133748,266240,-0.5546563863754272
1676589488.642602,268288,-0.5678232908248901
1676589594.636846,274432,-0.6405596137046814
1676589630.7330432,276480,-0.6809739470481873
1676589701.3964467,280576,-0.6876907348632812
1676589736.443446,282624,-0.6332971453666687
1676589808.1694686,286720,-0.6596102118492126
1676589878.6675045,290816,-0.6284918785095215
1676589915.23269,292864,-0.6284918785095215
1676589949.6854637,294912,-0.6915580630302429
1676589985.4287906,296960,-0.6451893448829651
1676590021.955917,299008,-0.6451893448829651
1676590057.903572,301056,-0.5895589590072632
1676590129.403557,305152,-0.5076192021369934
1676590165.592747,307200,-0.5076192021369934
1676590201.9209301,309248,-0.4783654510974884
1676590237.8521159,311296,-0.4783654510974884
1676590309.646908,315392,-0.3875395357608795
1676590345.4475665,317440,-0.41195738315582275
1676590379.8237622,319488,-0.4663510322570801
1676590452.0126183,323584,-0.4663510322570801
1676590486.5162177,325632,-0.4663510322570801
1676590522.7725358,327680,-0.49746933579444885
1676590593.8401015,331776,-0.49746933579444885
1676590629.6255376,333824,-0.47375428676605225
1676590701.0181844,337920,-0.4483472406864166
1676590737.1744018,339968,-0.4537455141544342
1676590808.215154,344064,-0.5812103748321533
