Wall time,Step,Value
1675258026.7635658,2048,-0.9991999864578247
1675258083.4278262,4096,-0.7076399922370911
1675258130.0924568,6144,-0.6427500247955322
1675258177.3296885,8192,-0.5024363398551941
1675258233.366016,10240,-0.594429612159729
1675258289.4958043,12288,-0.65767502784729
1675258345.233844,14336,-0.7038270235061646
1675258401.2066529,16384,-0.7389904856681824
1675258457.5753202,18432,-0.6531333327293396
1675258513.8652563,20480,-0.5987111330032349
1675258561.8557425,22528,-0.6326508522033691
1675258600.0042078,24576,-0.6612874865531921
1675258638.7705054,26624,-0.6857739090919495
1675258678.457075,28672,-0.6742240190505981
1675258727.0651152,30720,-0.6640499830245972
1675258780.4914448,32768,-0.6560423374176025
1675258835.7951133,34816,-0.6751066446304321
1675258890.194601,36864,-0.6374804377555847
1675258946.4075294,38912,-0.62226402759552
1675259002.7154791,40960,-0.651419997215271
1675259058.46485,43008,-0.5969799757003784
1675259115.7810352,45056,-0.6203439831733704
1675259172.062085,47104,-0.6492360234260559
1675259228.0538788,49152,-0.6492360234260559
1675259282.957953,51200,-0.6492360234260559
1675259339.6063979,53248,-0.6194480061531067
1675259395.909439,55296,-0.6762719750404358
1675259452.7640393,57344,-0.7040680050849915
1675259508.6816716,59392,-0.702347993850708
1675259565.5463781,61440,-0.702347993850708
1675259621.984427,63488,-0.6754720211029053
1675259675.2652676,65536,-0.6754720211029053
1675259731.5781717,67584,-0.6776000261306763
1675259786.9255419,69632,-0.7000920176506042
1675259843.1214492,71680,-0.670527994632721
1675259900.0842597,73728,-0.670527994632721
1675259956.2622783,75776,-0.7297120094299316
1675260012.3988514,77824,-0.7557799816131592
1675260069.1860902,79872,-0.7557799816131592
1675260125.4617896,81920,-0.7557799816131592
1675260181.4361937,83968,-0.838096022605896
1675260237.0317595,86016,-0.838096022605896
1675260292.9076655,88064,-0.838096022605896
1675260349.3426352,90112,-0.838096022605896
1675260405.742374,92160,-0.8101879954338074
1675260463.0466635,94208,-0.8131319880485535
1675260519.2305353,96256,-0.792743980884552
1675260575.9303527,98304,-0.792743980884552
1675260631.717056,100352,-0.8168200254440308
1675260687.0269089,102400,-0.8168200254440308
1675260744.532995,104448,-0.8436959981918335
1675260800.310371,106496,-0.8690360188484192
1675260854.2051659,108544,-0.8441680073738098
1675260909.7266166,110592,-0.8696280121803284
1675260965.1655571,112640,-0.8717479705810547
1675261021.361244,114688,-0.8717479705810547
1675261078.4631844,116736,-0.8717479705810547
1675261114.6719742,118784,-0.8717479705810547
1675261150.8632145,120832,-0.8432639837265015
1675261184.0608325,122880,-0.7962319850921631
1675261219.6372473,124928,-0.7962319850921631
1675261254.7817636,126976,-0.7741559743881226
1675261294.149095,129024,-0.7741559743881226
1675261328.8138437,131072,-0.7741559743881226
1675261365.6131053,133120,-0.7817879915237427
1675261403.3948133,135168,-0.8003759980201721
1675261436.5413961,137216,-0.7777159810066223
1675261471.5605307,139264,-0.7777159810066223
1675261506.8995862,141312,-0.7777159810066223
1675261541.728738,143360,-0.7777159810066223
1675261576.9832938,145408,-0.7490959763526917
1675261612.7953136,147456,-0.773963987827301
1675261648.4268289,149504,-0.744488000869751
1675261682.8356602,151552,-0.7152439951896667
1675261719.6625123,153600,-0.7152439951896667
1675261756.2232661,155648,-0.7152439951896667
1675261790.2947829,157696,-0.6627320051193237
1675261829.642709,159744,-0.6629319787025452
1675261871.6815355,161792,-0.6601880192756653
1675261913.3649035,163840,-0.605459988117218
1675261954.5016341,165888,-0.5685039758682251
1675261999.5432487,167936,-0.5405160188674927
1675262036.8894544,169984,-0.5607920289039612
1675262068.2856486,172032,-0.5393880009651184
1675262099.5988717,174080,-0.5620480179786682
1675262130.7568138,176128,-0.5620480179786682
1675262161.9325836,178176,-0.5620480179786682
1675262193.8825233,180224,-0.5371639728546143
1675262225.3638196,182272,-0.5657839775085449
1675262257.0040848,184320,-0.5094559788703918
1675262288.7789237,186368,-0.5389320254325867
1675262320.2186468,188416,-0.5660399794578552
1675262352.9739773,190464,-0.5452920198440552
1675262384.4588678,192512,-0.5238879919052124
1675262416.1958685,194560,-0.5763999819755554
1675262447.310869,196608,-0.6250159740447998
1675262479.197389,198656,-0.6544600129127502
1675262510.5001972,200704,-0.6549479961395264
1675262542.2817278,202752,-0.6804320216178894
1675262573.3415346,204800,-0.7097960114479065
1675262605.2763119,206848,-0.7393839955329895
1675262636.551979,208896,-0.7393839955329895
1675262668.5757778,210944,-0.7637240290641785
1675262700.2029715,212992,-0.7676360011100769
1675262732.3657112,215040,-0.7676360011100769
1675262763.8155167,217088,-0.7676360011100769
1675262795.8545177,219136,-0.7925199866294861
1675262827.756546,221184,-0.7668600082397461
1675262860.032993,223232,-0.7964000105857849
1675262892.1920393,225280,-0.8231880068778992
1675262923.4328167,227328,-0.7973840236663818
1675262955.5615745,229376,-0.8269640207290649
1675262986.8823469,231424,-0.8271080255508423
1675263018.9903462,233472,-0.8485119938850403
1675263050.362346,235520,-0.818988025188446
1675263082.6053455,237568,-0.795304000377655
1675263113.844388,239616,-0.7665240168571472
1675263146.2053883,241664,-0.7952799797058105
1675263177.5119045,243712,-0.7952799797058105
1675263209.9699578,245760,-0.7952799797058105
1675263241.2969553,247808,-0.8233479857444763
1675263273.419508,249856,-0.8233479857444763
1675263304.8479874,251904,-0.8451439738273621
1675263336.732987,253952,-0.8451439738273621
1675263368.8179877,256000,-0.7955999970436096
1675263400.2115135,258048,-0.7955999970436096
1675263432.1069846,260096,-0.7955999970436096
1675263463.4811497,262144,-0.8212599754333496
1675263495.62015,264192,-0.7928239703178406
1675263526.9494033,266240,-0.8186280131340027
1675263558.7767923,268288,-0.8186280131340027
1675263590.0335884,270336,-0.8186280131340027
1675263622.26186,272384,-0.8392320275306702
1675263653.5757797,274432,-0.8392320275306702
1675263685.520781,276480,-0.8259479999542236
1675263716.5761192,278528,-0.8258600234985352
1675263748.6534667,280576,-0.8258600234985352
1675263779.9395804,282624,-0.7968320250511169
1675263812.0219886,284672,-0.7436559796333313
1675263843.390603,286720,-0.7221480011940002
1675263875.3596015,288768,-0.6989359855651855
1675263907.3086436,290816,-0.6701400279998779
1675263938.7101598,292864,-0.6701400279998779
1675263971.0891566,294912,-0.6958079934120178
1675264002.5311568,296960,-0.6743320226669312
1675264034.394159,299008,-0.6280919909477234
1675264065.7981937,301056,-0.5985999703407288
1675264098.5330524,303104,-0.5980079770088196
1675264129.6922002,305152,-0.5980079770088196
1675264161.7054942,307200,-0.5684679746627808
1675264193.100494,309248,-0.5684679746627808
1675264225.3644938,311296,-0.5684679746627808
1675264256.766527,313344,-0.5617240071296692
1675264288.749474,315392,-0.582319974899292
1675264319.9814734,317440,-0.6348720192909241
1675264351.9120016,319488,-0.604964017868042
1675264383.176004,321536,-0.6339920163154602
1675264415.2145803,323584,-0.6413919925689697
1675264447.4794526,325632,-0.6347839832305908
1675264478.8117435,327680,-0.6579959988594055
1675264510.915086,329728,-0.6572120189666748
1675264542.5703943,331776,-0.6810879707336426
1675264574.692415,333824,-0.6794559955596924
1675264606.129414,335872,-0.7256960272789001
1675264637.8444147,337920,-0.64274001121521
