Wall time,Step,Value
1675258026.7635658,2048,40.0
1675258083.4288235,4096,37.0
1675258130.0924568,6144,39.0
1675258177.3296885,8192,40.0
1675258233.366016,10240,39.0
1675258289.4958043,12288,39.0
1675258345.2348452,14336,38.0
1675258401.2066529,16384,38.0
1675258457.5753202,18432,38.0
1675258513.8652563,20480,38.0
1675258561.8567357,22528,38.0
1675258600.004607,24576,39.0
1675258638.7705054,26624,40.0
1675258678.457075,28672,40.0
1675258727.0651152,30720,40.0
1675258780.4914448,32768,40.0
1675258835.7951133,34816,40.0
1675258890.194601,36864,40.0
1675258946.4075294,38912,40.0
1675259002.7154791,40960,39.0
1675259058.465851,43008,39.0
1675259115.7810352,45056,39.0
1675259172.062085,47104,39.0
1675259228.0538788,49152,39.0
1675259282.957953,51200,39.0
1675259339.6063979,53248,39.0
1675259395.909439,55296,38.0
1675259452.7640393,57344,38.0
1675259508.6826742,59392,38.0
1675259565.5463781,61440,38.0
1675259621.985427,63488,38.0
1675259675.2660177,65536,38.0
1675259731.5781717,67584,38.0
1675259786.9255419,69632,38.0
1675259843.1214492,71680,38.0
1675259900.0852582,73728,38.0
1675259956.2622783,75776,38.0
1675260012.3988514,77824,38.0
1675260069.1870947,79872,38.0
1675260125.4617896,81920,38.0
1675260181.4361937,83968,38.0
1675260237.0317595,86016,38.0
1675260292.9086635,88064,38.0
1675260349.3426352,90112,37.0
1675260405.7433884,92160,37.0
1675260463.0466635,94208,37.0
1675260519.2305353,96256,37.0
1675260575.9303527,98304,37.0
1675260631.717056,100352,37.0
1675260687.0269089,102400,37.0
1675260744.532995,104448,37.0
1675260800.310371,106496,37.0
1675260854.2051659,108544,37.0
1675260909.7276177,110592,37.0
1675260965.1655571,112640,37.0
1675261021.361244,114688,37.0
1675261078.4631844,116736,37.0
1675261114.6719742,118784,37.0
1675261150.8632145,120832,38.0
1675261184.0608325,122880,38.0
1675261219.6372473,124928,38.0
1675261254.7817636,126976,38.0
1675261294.149095,129024,38.0
1675261328.8148446,131072,39.0
1675261365.6131053,133120,39.0
1675261403.3958154,135168,39.0
1675261436.5413961,137216,39.0
1675261471.5605307,139264,39.0
1675261506.8995862,141312,40.0
1675261541.728738,143360,40.0
1675261576.9832938,145408,40.0
1675261612.7953136,147456,40.0
1675261648.4268289,149504,40.0
1675261682.8356602,151552,40.0
1675261719.6635146,153600,41.0
1675261756.2232661,155648,41.0
1675261790.2947829,157696,41.0
1675261829.6437101,159744,41.0
1675261871.6815355,161792,41.0
1675261913.3649035,163840,41.0
1675261954.502636,165888,41.0
1675261999.5432487,167936,41.0
1675262036.8894544,169984,41.0
1675262068.2856486,172032,42.0
1675262099.5988717,174080,42.0
1675262130.7568138,176128,42.0
1675262161.9325836,178176,42.0
1675262193.8825233,180224,42.0
1675262225.3638196,182272,42.0
1675262257.0040848,184320,43.0
1675262288.7789237,186368,43.0
1675262320.2186468,188416,43.0
1675262352.9739773,190464,43.0
1675262384.4588678,192512,43.0
1675262416.1958685,194560,43.0
1675262447.310869,196608,43.0
1675262479.197389,198656,44.0
1675262510.5001972,200704,44.0
1675262542.2817278,202752,44.0
1675262573.342533,204800,44.0
1675262605.2763119,206848,44.0
1675262636.551979,208896,44.0
1675262668.5757778,210944,44.0
1675262700.2029715,212992,45.0
1675262732.3657112,215040,45.0
1675262763.8155167,217088,45.0
1675262795.8545177,219136,45.0
1675262827.756546,221184,45.0
1675262860.032993,223232,45.0
1675262892.1920393,225280,45.0
1675262923.4328167,227328,45.0
1675262955.5615745,229376,46.0
1675262986.8823469,231424,46.0
1675263018.9903462,233472,46.0
1675263050.362346,235520,46.0
1675263082.6053455,237568,46.0
1675263113.844388,239616,46.0
1675263146.2053883,241664,46.0
1675263177.5119045,243712,46.0
1675263209.9699578,245760,46.0
1675263241.2969553,247808,47.0
1675263273.419508,249856,47.0
1675263304.8479874,251904,47.0
1675263336.732987,253952,47.0
1675263368.8179877,256000,47.0
1675263400.2115135,258048,47.0
1675263432.1069846,260096,47.0
1675263463.4811497,262144,47.0
1675263495.62015,264192,47.0
1675263526.9494033,266240,47.0
1675263558.7767923,268288,48.0
1675263590.0335884,270336,48.0
1675263622.26186,272384,48.0
1675263653.5757797,274432,48.0
1675263685.520781,276480,48.0
1675263716.5771208,278528,48.0
1675263748.6534667,280576,48.0
1675263779.9395804,282624,48.0
1675263812.0219886,284672,48.0
1675263843.390603,286720,48.0
1675263875.3596015,288768,48.0
1675263907.3086436,290816,49.0
1675263938.7101598,292864,49.0
1675263971.0891566,294912,49.0
1675264002.5321574,296960,49.0
1675264034.394159,299008,49.0
1675264065.7981937,301056,49.0
1675264098.5330524,303104,49.0
1675264129.6922002,305152,49.0
1675264161.7064953,307200,49.0
1675264193.100494,309248,49.0
1675264225.3644938,311296,49.0
1675264256.7675288,313344,49.0
1675264288.749474,315392,49.0
1675264319.9814734,317440,50.0
1675264351.9120016,319488,50.0
1675264383.176004,321536,50.0
1675264415.2145803,323584,50.0
1675264447.4794526,325632,50.0
1675264478.8117435,327680,50.0
1675264510.915086,329728,50.0
1675264542.5703943,331776,50.0
1675264574.692415,333824,50.0
1675264606.129414,335872,50.0
1675264637.8444147,337920,50.0
1675264669.1863382,339968,50.0
1675264701.2135794,342016,50.0
1675264732.7597,344064,50.0
1675264764.8869603,346112,50.0
1675264796.4663246,348160,51.0
1675264828.7385588,350208,51.0
1675264860.1467805,352256,51.0
1675264893.4081054,354304,51.0
1675264924.7968829,356352,51.0
1675264957.499859,358400,51.0
1675264989.8226194,360448,51.0
1675265021.6336796,362496,51.0
1675265053.926378,364544,51.0
1675265085.421742,366592,51.0
1675265117.5120325,368640,51.0
1675265148.9047024,370688,51.0
1675265181.3248608,372736,51.0
1675265212.7954133,374784,51.0
1675265244.8950496,376832,51.0
1675265276.3444757,378880,51.0
1675265308.6558,380928,51.0
1675265340.1329222,382976,52.0
1675265372.208676,385024,52.0
1675265404.1801705,387072,52.0
1675265436.2610228,389120,52.0
1675265468.3722084,391168,52.0
1675265500.1588836,393216,52.0
1675265532.3080437,395264,52.0
1675265563.832143,397312,52.0
1675265596.0557637,399360,52.0
1675265627.6366346,401408,52.0
1675265659.8913455,403456,52.0
1675265691.437042,405504,52.0
1675265723.427785,407552,52.0
1675265754.7753334,409600,52.0
1675265787.020849,411648,52.0
1675265818.7326443,413696,52.0
1675265850.9689715,415744,52.0
1675265882.324242,417792,52.0
1675265914.8103406,419840,52.0
1675265946.34289,421888,52.0
1675265978.362622,423936,52.0
1675266010.5552704,425984,53.0
1675266042.106274,428032,53.0
1675266074.2985835,430080,53.0
1675266105.920871,432128,53.0
1675266138.005007,434176,53.0
1675266169.6587095,436224,53.0
1675266201.8570917,438272,53.0
1675266233.421398,440320,53.0
1675266265.6886804,442368,53.0
1675266297.101431,444416,53.0
1675266329.2202334,446464,53.0
1675266360.7952204,448512,53.0
1675266393.2286208,450560,53.0
1675266424.9769845,452608,53.0
1675266457.2554862,454656,53.0
1675266489.6612155,456704,53.0
1675266521.0450313,458752,53.0
1675266553.2935686,460800,53.0
1675266584.8672683,462848,53.0
1675266617.141101,464896,53.0
1675266648.7490122,466944,53.0
1675266681.198147,468992,53.0
1675266712.833878,471040,53.0
1675266745.2415848,473088,53.0
1675266776.7531753,475136,53.0
1675266809.0294008,477184,54.0
1675266840.5292454,479232,54.0
1675266872.535372,481280,54.0
1675266904.1835415,483328,54.0
1675266936.365764,485376,54.0
1675266968.6984217,487424,54.0
1675267000.5165207,489472,54.0
1675267032.6976984,491520,54.0
1675267064.3390038,493568,54.0
1675267096.6845791,495616,54.0
1675267128.1562605,497664,54.0
1675267160.510613,499712,54.0
1675267192.0204246,501760,54.0
1675267224.6604795,503808,109.0
1675267256.5134804,505856,81.0
1675267288.9380007,507904,74.0
1675267320.4469993,509952,71.0
1675267352.725999,512000,69.0
1675267384.4559987,514048,68.0
1675267417.3782887,516096,67.0
1675267450.5513515,518144,67.0
1675267482.7140174,520192,66.0
1675267515.0172856,522240,66.0
1675267546.7717683,524288,66.0
1675267579.428768,526336,65.0
1675267611.0517685,528384,65.0
1675267643.438768,530432,65.0
1675267675.0467677,532480,65.0
1675267707.708624,534528,65.0
1675267739.425822,536576,65.0
1675267772.1163473,538624,65.0
1675267803.8441792,540672,65.0
1675267836.079869,542720,65.0
1675267868.577594,544768,64.0
1675267900.6053243,546816,64.0
1675267932.9780943,548864,64.0
1675267964.8605528,550912,64.0
1675267997.0400815,552960,64.0
1675268028.709844,555008,64.0
1675268060.9229665,557056,64.0
1675268092.8007221,559104,64.0
1675268125.221074,561152,64.0
1675268157.036085,563200,64.0
1675268189.609753,565248,64.0
1675268221.4198935,567296,64.0
1675268253.724233,569344,64.0
1675268285.4137483,571392,64.0
1675268317.7896035,573440,64.0
1675268350.007293,575488,64.0
1675268381.6160798,577536,64.0
1675268414.0183113,579584,64.0
1675268445.5266964,581632,64.0
1675268478.419993,583680,64.0
1675268511.6567473,585728,64.0
1675268544.1249554,587776,64.0
1675268575.5482976,589824,64.0
1675268607.76271,591872,64.0
1675268639.6105168,593920,64.0
1675268671.812324,595968,64.0
1675268703.5389686,598016,64.0
1675268735.6356797,600064,64.0
1675268768.2100878,602112,64.0
1675268799.9701695,604160,64.0
1675268832.218611,606208,64.0
1675268863.8948274,608256,64.0
1675268896.074411,610304,64.0
1675268927.5353236,612352,64.0
1675268959.815139,614400,64.0
1675268991.4915247,616448,64.0
1675269023.808705,618496,64.0
1675269055.313371,620544,64.0
1675269087.59299,622592,64.0
1675269119.2792616,624640,64.0
1675269151.677442,626688,64.0
1675269183.4055624,628736,64.0
1675269215.7283125,630784,64.0
1675269248.0112302,632832,64.0
1675269279.7504177,634880,64.0
1675269312.0936356,636928,64.0
1675269343.8414493,638976,64.0
1675269376.1753082,641024,64.0
1675269407.7658627,643072,64.0
1675269440.3362117,645120,64.0
1675269471.9145327,647168,64.0
1675269504.1745327,649216,64.0
1675269536.3210607,651264,64.0
1675269568.5400586,653312,64.0
1675269600.3810596,655360,64.0
1675269632.692959,657408,64.0
1675269664.4527233,659456,64.0
1675269696.8799493,661504,64.0
1675269729.3032205,663552,64.0
1675269760.9786391,665600,64.0
1675269793.337424,667648,64.0
1675269824.8896992,669696,64.0
1675269857.1662557,671744,64.0
1675269888.765239,673792,64.0
1675269921.4746344,675840,64.0
1675269953.3975825,677888,64.0
1675269985.968582,679936,64.0
1675270017.7311192,681984,64.0
1675270050.1166391,684032,64.0
1675270081.9491608,686080,64.0
1675270114.2191997,688128,64.0
1675270145.903714,690176,64.0
1675270178.1402473,692224,64.0
1675270210.5262372,694272,64.0
1675270242.300946,696320,64.0
1675270274.7391195,698368,64.0
1675270306.4854553,700416,64.0
1675270339.296373,702464,64.0
1675270371.4376957,704512,64.0
1675270404.7290528,706560,64.0
1675270440.4965227,708608,63.0
1675270476.6888263,710656,63.0
1675270516.4757817,712704,63.0
1675270556.4566536,714752,63.0
1675270588.543784,716800,63.0
1675270620.461307,718848,63.0
1675270652.3495946,720896,63.0
1675270684.3649035,722944,63.0
1675270717.4413884,724992,63.0
1675270756.770678,727040,63.0
1675270800.83535,729088,63.0
1675270852.1438682,731136,62.0
1675270911.9654474,733184,62.0
1675270949.948832,735232,62.0
1675270988.041229,737280,62.0
1675271031.2020833,739328,62.0
1675271073.707999,741376,61.0
1675271115.3769724,743424,61.0
1675271156.7687795,745472,61.0
1675271198.807521,747520,61.0
1675271241.7073903,749568,61.0
1675271284.841568,751616,61.0
1675271328.1528404,753664,61.0
1675271369.8350377,755712,60.0
1675271411.3590703,757760,60.0
1675271452.8746781,759808,60.0
1675271495.0733867,761856,60.0
1675271536.949478,763904,60.0
1675271578.6588902,765952,60.0
1675271620.2218764,768000,60.0
1675271661.582066,770048,60.0
1675271703.3940604,772096,60.0
1675271745.7235131,774144,60.0
1675271788.2038336,776192,59.0
1675271832.996307,778240,59.0
1675271878.0048296,780288,59.0
1675271923.3462052,782336,59.0
1675271968.5706284,784384,59.0
1675272014.031761,786432,59.0
1675272059.3414729,788480,59.0
1675272105.8445022,790528,58.0
1675272151.6105356,792576,58.0
1675272196.5005975,794624,58.0
1675272242.1122046,796672,58.0
1675272287.1719334,798720,58.0
1675272332.2015154,800768,58.0
1675272378.1748447,802816,58.0
1675272423.8733747,804864,58.0
1675272469.3178997,806912,57.0
1675272514.8354402,808960,57.0
1675272559.9998667,811008,57.0
1675272605.1908998,813056,57.0
1675272650.3906255,815104,57.0
1675272696.1634836,817152,57.0
1675272741.4998624,819200,57.0
1675272787.1416209,821248,57.0
1675272832.301664,823296,57.0
1675272877.4137359,825344,57.0
1675272922.6124156,827392,56.0
1675272967.9712617,829440,56.0
1675273013.3063507,831488,56.0
1675273059.2806742,833536,56.0
1675273104.555793,835584,56.0
1675273150.5836878,837632,56.0
1675273195.6537445,839680,56.0
1675273240.8291106,841728,56.0
1675273286.4682136,843776,56.0
1675273331.5256162,845824,56.0
1675273376.4032037,847872,56.0
1675273421.8443508,849920,56.0
1675273467.071131,851968,55.0
1675273512.3947191,854016,55.0
1675273557.4066255,856064,55.0
1675273603.7228224,858112,55.0
1675273648.9123623,860160,55.0
1675273695.6540883,862208,55.0
1675273740.7352054,864256,55.0
1675273785.79558,866304,55.0
1675273830.8035429,868352,55.0
1675273876.4077535,870400,55.0
1675273921.6019502,872448,55.0
1675273967.298482,874496,55.0
1675274012.4387622,876544,55.0
1675274060.2700756,878592,54.0
1675274106.0749404,880640,54.0
1675274151.4312606,882688,54.0
1675274197.3262222,884736,54.0
1675274243.5119286,886784,54.0
1675274288.8908942,888832,54.0
1675274334.101929,890880,54.0
1675274379.4079459,892928,54.0
1675274424.8643909,894976,54.0
1675274470.3164327,897024,54.0
1675274515.79094,899072,54.0
1675274560.8789415,901120,54.0
1675274606.780757,903168,54.0
1675274652.3293512,905216,54.0
1675274706.3755057,907264,54.0
1675274742.848123,909312,54.0
1675274789.5763435,911360,54.0
1675274840.6171362,913408,53.0
1675274896.2473629,915456,53.0
1675274951.4046144,917504,53.0
1675275005.96465,919552,53.0
1675275065.187069,921600,53.0
1675275128.707446,923648,53.0
1675275177.867096,925696,53.0
1675275231.6032176,927744,53.0
1675275284.8507006,929792,52.0
1675275343.9573581,931840,52.0
1675275398.7125702,933888,52.0
1675275444.2480369,935936,52.0
1675275478.4841912,937984,52.0
1675275515.579298,940032,52.0
1675275553.2584026,942080,52.0
1675275594.3088148,944128,52.0
1675275641.8612974,946176,52.0
1675275688.3745432,948224,52.0
1675275741.1187148,950272,52.0
1675275789.8800385,952320,52.0
1675275846.299814,954368,52.0
1675275901.8764677,956416,52.0
1675275959.694701,958464,52.0
1675276014.6132214,960512,52.0
1675276076.1640553,962560,51.0
1675276131.4595473,964608,51.0
1675276195.891798,966656,51.0
1675276248.214145,968704,51.0
1675276312.9012134,970752,51.0
1675276368.3758013,972800,51.0
1675276429.476556,974848,51.0
1675276490.0757558,976896,51.0
1675276541.8608375,978944,51.0
1675276598.3186479,980992,51.0
1675276654.4274688,983040,50.0
1675276711.1689825,985088,50.0
1675276766.9046974,987136,50.0
1675276817.159274,989184,50.0
